timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,anglX,anglY,anglZ
0.0,0,0,1,0.03,-0.02,0.05,-0.01,0.01,-0.62
6.578947368421052,0,0,1.01,0.06,0.03,-0.07,-0.01,0.01,-0.62
13.157894736842104,0,-0.01,1,0.05,0.06,0.01,-0.02,0.01,-0.62
19.736842105263158,0,0,1,0.11,0.01,-0.13,-0.02,0.01,-0.62
26.31578947368421,0,0,1,-0.09,0.03,-0.08,-0.02,0.01,-0.62
32.89473684210526,0,0,1,-0.13,0.01,-0.12,-0.01,0.01,-0.62
39.473684210526315,0,0,1,-0.07,-0.05,0.1,-0.01,0.02,-0.62
46.05263157894736,0,0,1.01,-0.03,0.01,-0.04,0,0.02,-0.62
52.63157894736842,0,0,1,0.05,0.12,-0.05,0,0.01,-0.62
59.21052631578947,0,0,0.99,-0.04,0.08,-0.04,-0.01,0.01,-0.62
65.78947368421052,0,0,1,-0.06,0.11,0.02,-0.01,0.01,-0.62
72.36842105263158,0,0,1,-0.2,0.09,0.04,-0.01,0.02,-0.62
78.94736842105263,0,0.01,0.99,-0.04,0.05,-0.1,0,0.01,-0.62
85.52631578947368,0,-0.01,1,-0.01,-0.02,-0.1,-0.01,0.02,-0.62
92.10526315789473,0,0,1,0.11,-0.03,0.02,-0.01,0.01,-0.62
98.68421052631578,0,0,1.01,0.08,0.05,0.02,-0.01,0.01,-0.62
105.26315789473684,0,0,1,0.06,0,0.07,-0.01,0.01,-0.62
111.84210526315789,0,0,1,-0.06,0.05,0.05,-0.01,0.02,-0.62
118.42105263157895,0,0,1,-0.1,0,0.08,-0.01,0.01,-0.62
124.99999999999999,0,-0.01,1,0,0.09,0.16,-0.02,0.02,-0.62
131.57894736842104,-0.01,0,1,-0.15,-0.05,-0.08,-0.01,0.03,-0.62
138.1578947368421,0,-0.01,1,-0.1,0.11,-0.1,-0.02,0.03,-0.62
144.73684210526315,0,0,1.01,0.09,0.05,0.01,-0.02,0.03,-0.62
151.3157894736842,0,0,1.01,0.16,0.09,0.05,-0.02,0.03,-0.62
157.89473684210526,0,0,1,-0.03,-0.08,0.01,-0.02,0.03,-0.62
164.4736842105263,0,-0.01,0.99,-0.03,0.01,0.02,-0.03,0.03,-0.62
171.05263157894737,0,0,0.99,0.11,0.05,0.07,-0.03,0.03,-0.62
177.6315789473684,0,0,1,-0.01,-0.08,0.04,-0.03,0.03,-0.62
184.21052631578945,0,0,1,-0.01,0.23,0.02,-0.03,0.04,-0.62
190.78947368421052,0,0,1,-0.03,-0.03,-0.1,-0.02,0.04,-0.62
197.36842105263156,0,0,1,-0.04,0.24,-0.16,-0.03,0.04,-0.62
203.94736842105263,0,0,1,-0.16,-0.12,-0.01,-0.03,0.04,-0.62
