timestamp,millis,AccX.AccY,AccZ,GyroX,GyroY,GyroZ
1706614949,1197815,0.114922,0.043096,-9.392453,-0.014655,0.018119,-0.020518
1706614949,1197836,0.059855,-0.002394,-9.715671,-0.013856,0.016521,-0.022916
1706614949,1197856,0.119710,-0.028730,-9.533711,-0.013856,0.018652,-0.018386
1706614949,1197877,0.138864,-0.059855,-9.586384,-0.013590,0.018386,-0.021317
1706614949,1197897,0.162806,0.004788,-9.313444,-0.018652,0.014655,-0.021583
1706614949,1197920,0.126893,-0.004788,-9.610326,-0.012790,0.016254,-0.023182
1706614949,1197940,0.126893,-0.033519,-9.581595,-0.015721,0.017587,-0.021850
1706614949,1197960,0.158017,0.033519,-9.490616,-0.015721,0.017054,-0.019185
1706614949,1197981,0.177171,-0.007183,-9.409213,-0.014123,0.021583,-0.022916
1706614949,1198001,0.148441,-0.031125,-9.560047,-0.014922,0.017054,-0.018652
1706614949,1198021,0.083797,-0.014365,-9.464279,-0.013590,0.017320,-0.021850
1706614949,1198042,0.146046,-0.009577,-9.454702,-0.013323,0.015455,-0.023449
1706614949,1198065,0.083797,-0.004788,-9.605537,-0.018652,0.015455,-0.023182
1706614949,1198085,0.143652,-0.031125,-9.430760,-0.013323,0.018652,-0.020251
1706614949,1198105,0.146046,0.000000,-9.531317,-0.014123,0.015188,-0.022649
1706614949,1198126,0.239420,0.016759,-9.473856,-0.014922,0.014389,-0.021051
1706614949,1198146,0.086191,-0.040701,-9.425972,-0.011191,0.017320,-0.022649
1706614949,1198166,0.112527,-0.011971,-9.619903,-0.015721,0.019452,-0.021317
1706614949,1198189,0.071826,-0.004788,-9.476251,-0.015721,0.017587,-0.021317
1706614949,1198209,0.102951,0.031125,-9.445126,-0.013323,0.019718,-0.022116
1706614949,1198230,0.093374,0.040701,-9.493010,-0.011991,0.019185,-0.019718
1706614949,1198250,0.160412,-0.035913,-9.548077,-0.010925,0.016787,-0.023982
1706614949,1198270,0.143652,-0.011971,-9.459491,-0.013856,0.015721,-0.021583
1706614949,1198291,0.112527,-0.047884,-9.533711,-0.013856,0.017853,-0.023182
1706614949,1198311,0.119710,0.007183,-9.567230,-0.013856,0.021051,-0.022116
1706614949,1198342,0.098162,0.074220,-9.368511,-0.012257,0.019452,-0.021317
1706614949,1198364,0.143652,-0.019154,-9.473856,-0.015721,0.019185,-0.020251
1706614949,1198384,0.076614,-0.019154,-9.536105,-0.012790,0.017054,-0.021850
1706614949,1198404,0.040701,-0.031125,-9.562442,-0.015988,0.016521,-0.020784
1706614949,1198424,0.071826,0.019154,-9.567230,-0.012257,0.018119,-0.019718
1706614949,1198444,0.119710,-0.033519,-9.560047,-0.015188,0.015455,-0.019452
1706614949,1198464,0.069432,-0.074220,-9.540894,-0.017587,0.017587,-0.020784
1706614949,1198486,0.093374,-0.043096,-9.562442,-0.016254,0.016787,-0.022383
1706614949,1198506,0.090980,0.007183,-9.564836,-0.011991,0.017587,-0.019985
1706614949,1198526,0.057461,0.004788,-9.591172,-0.015188,0.019185,-0.021317
1706614949,1198546,0.146046,0.019154,-9.536105,-0.012524,0.017054,-0.021583
1706614949,1198566,0.095768,-0.021548,-9.461885,-0.013590,0.017853,-0.019718
1706614949,1198587,0.114922,0.000000,-9.490616,-0.013057,0.015988,-0.019985
1706614949,1198609,0.112527,-0.007183,-9.464279,-0.010925,0.017587,-0.019452
1706614949,1198629,0.117316,0.028730,-9.552865,-0.015188,0.022383,-0.019985
1706614949,1198649,0.143652,-0.031125,-9.437943,-0.014123,0.017320,-0.022116
1706614949,1198669,0.100556,-0.009577,-9.543288,-0.013856,0.017054,-0.023715
1706614949,1198689,0.095768,-0.038307,-9.567230,-0.015455,0.018652,-0.019452
1706614949,1198709,0.112527,0.000000,-9.528923,-0.012790,0.018652,-0.018119
1706614949,1198730,0.074220,0.000000,-9.457097,-0.011191,0.012790,-0.019718
1706614949,1198752,0.122104,-0.019154,-9.500193,-0.014655,0.018119,-0.017853
1706614949,1198772,0.114922,-0.031125,-9.540894,-0.013323,0.015455,-0.019985
1706614950,1198792,0.110133,-0.002394,-9.452309,-0.014123,0.019185,-0.021850
1706614950,1198812,0.143652,0.050278,-9.459491,-0.014922,0.018652,-0.021051
1706614950,1198832,0.026336,-0.014365,-9.507375,-0.014389,0.018919,-0.019185
1706614950,1198852,0.098162,0.009577,-9.504981,-0.011191,0.018119,-0.020518
1706614950,1198872,0.062249,-0.040701,-9.481039,-0.015455,0.016521,-0.019718
1706614950,1198895,0.110133,-0.043096,-9.466674,-0.012524,0.017853,-0.022649
1706614950,1198915,0.081403,0.007183,-9.504981,-0.014123,0.018919,-0.020251
1706614950,1198935,0.110133,0.009577,-9.562442,-0.014123,0.017853,-0.023715
1706614950,1198955,0.112527,-0.035913,-9.490616,-0.014922,0.019985,-0.020518
1706614950,1198975,0.126893,-0.011971,-9.624691,-0.014123,0.015988,-0.020784
1706614950,1198995,0.136469,-0.002394,-9.449914,-0.012524,0.015988,-0.022383
1706614950,1199018,0.138864,-0.050278,-9.433155,-0.015455,0.018919,-0.022383
1706614950,1199038,0.088585,0.019154,-9.591172,-0.015988,0.015988,-0.021583
