timestamp,millis,AccX.AccY,AccZ,GyroX,GyroY,GyroZ
1706616191,2439806,0.110133,0.014365,-9.557653,-0.012257,0.016254,-0.020251
1706616191,2439832,0.079009,0.007183,-9.416395,-0.015988,0.015455,-0.021051
1706616191,2439858,0.107739,-0.040701,-9.476251,-0.015988,0.016254,-0.020251
1706616191,2439884,0.136469,0.047884,-9.485827,-0.015188,0.021317,-0.021051
1706616191,2439910,0.141258,-0.076614,-9.430760,-0.012524,0.015988,-0.023182
1706616191,2439946,0.067038,0.019154,-9.437943,-0.013057,0.020784,-0.021317
1706616191,2439973,0.117316,-0.028730,-9.631873,-0.013856,0.015721,-0.020784
1706616191,2439999,0.067038,0.011971,-9.588778,-0.013856,0.021583,-0.021051
1706616191,2440024,0.129287,-0.050278,-9.536105,-0.013856,0.016254,-0.021583
1706616191,2440050,0.083797,0.011971,-9.435549,-0.010658,0.020251,-0.020518
1706616191,2440076,0.081403,-0.064643,-9.504981,-0.012524,0.018652,-0.019985
1706616191,2440104,0.093374,-0.016759,-9.552865,-0.012790,0.018386,-0.019985
1706616191,2440130,0.102951,0.014365,-9.519346,-0.015721,0.016787,-0.022383
1706616191,2440155,0.038307,-0.062249,-9.495404,-0.014123,0.018386,-0.024515
1706616191,2440181,0.107739,-0.028730,-9.557653,-0.015188,0.017054,-0.022116
1706616191,2440207,0.093374,-0.033519,-9.550470,-0.014655,0.017054,-0.021051
1706616191,2440233,0.129287,-0.052672,-9.485827,-0.015188,0.021051,-0.024781
1706616191,2440258,0.114922,-0.052672,-9.557653,-0.012790,0.015988,-0.020518
1706616191,2440287,0.107739,0.038307,-9.579201,-0.015721,0.018386,-0.021317
1706616191,2440312,0.045490,0.007183,-9.473856,-0.015188,0.016254,-0.023982
1706616191,2440338,0.064643,0.028730,-9.550470,-0.012790,0.016254,-0.019185
1706616191,2440364,0.110133,0.007183,-9.514558,-0.011191,0.017853,-0.022916
1706616191,2440390,0.088585,-0.047884,-9.469068,-0.012524,0.020251,-0.019452
1706616191,2440416,0.134075,-0.043096,-9.435549,-0.016254,0.018119,-0.022116
1706616191,2440441,0.067038,-0.047884,-9.617508,-0.015455,0.015721,-0.018919
1706616191,2440470,0.155623,-0.055067,-9.509769,-0.014655,0.017054,-0.023449
1706616191,2440495,0.131681,0.000000,-9.543288,-0.014655,0.016787,-0.023715
1706616191,2440521,0.134075,0.007183,-9.576807,-0.013856,0.020784,-0.020784
1706616191,2440547,0.076614,0.014365,-9.560047,-0.014123,0.018119,-0.022649
1706616191,2440573,0.059855,3.423708,2.715025,-0.024515,0.003464,-0.017587
1706616191,2440599,-0.395043,4.960786,-5.626374,-0.033574,-0.103920,-0.036239
1706616191,2440624,-0.280122,2.583344,-3.160346,-0.094061,0.650968,-0.012790
1706616191,2440652,1.912967,1.256956,1.218649,-0.106585,0.248077,-0.027979
1706616191,2440678,-1.249773,-4.589684,-12.430696,0.026113,-0.173734,-0.028245
1706616191,2440704,-0.023942,-0.313640,-9.698911,-0.023182,-0.138028,-0.024781
1706616191,2440730,0.150835,0.014365,-7.596802,-0.021317,0.006928,-0.025580
1706616191,2440756,0.177171,0.028730,-10.242394,-0.022116,0.056224,-0.022916
1706616192,2440781,0.088585,0.057461,-9.655815,-0.008527,0.020518,-0.025047
1706616192,2440810,0.174777,0.021548,-10.048465,0.000799,0.009060,-0.024515
1706616192,2440835,0.167594,-0.071826,-10.146626,-0.003464,0.003997,-0.027446
1706616192,2440861,0.138864,0.002394,-9.631873,-0.003198,-0.005329,-0.024248
1706616192,2440887,0.158017,0.021548,-9.945514,0.000533,0.001332,-0.023715
1706616192,2440913,0.105345,0.021548,-9.251195,-0.004263,0.007194,-0.024781
1706616192,2440939,0.095768,0.102951,-9.404425,-0.007461,0.016787,-0.025580
1706616192,2440964,0.153229,-0.064643,-9.392453,-0.005063,0.013856,-0.025314
1706616192,2440993,0.148441,-0.038307,-9.459491,-0.007461,0.007461,-0.021051
1706616192,2441018,0.124498,-0.079009,-9.330204,-0.009593,0.013590,-0.022916
1706616192,2441044,0.160412,-0.067038,-9.232041,-0.008527,0.024781,-0.022383
1706616192,2441070,0.117316,0.004788,-9.282320,-0.011458,0.021850,-0.023982
1706616192,2441096,0.090980,0.009577,-9.323022,-0.012790,0.030110,-0.021583
1706616192,2441122,0.134075,-0.045490,-9.536105,-0.016254,0.042634,-0.021317
1706616192,2441147,0.148441,0.000000,-9.397242,-0.013057,0.044766,-0.023449
1706616192,2441175,0.081403,-0.019154,-9.818622,-0.012790,0.044766,-0.021317
1706616192,2441201,0.138864,-0.052672,-9.447520,-0.013856,0.043167,-0.021317
1706616192,2441227,0.260968,-0.057461,-9.296685,-0.015988,0.043966,-0.022649
1706616192,2441253,0.186748,-0.050278,-9.641450,-0.014123,0.032242,-0.022383
1706616192,2441278,0.155623,-0.011971,-9.409213,-0.011724,0.022916,-0.022649
1706616192,2441304,0.122104,-0.043096,-9.502586,-0.018386,0.033041,-0.022383
1706616192,2441332,0.141258,0.023942,-9.045294,-0.019452,0.029311,-0.025314
1706616192,2441359,0.141258,-0.026336,-9.536105,-0.021583,-0.009593,-0.024515
1706616192,2441385,0.174777,0.021548,-9.121908,-0.029844,-0.039969,-0.022649
1706616192,2441411,0.031125,-0.095768,-8.643068,-0.032775,-0.056224,-0.024515
1706616192,2441437,0.153229,-0.047884,-9.567230,-0.043966,-0.049828,-0.025847
1706616192,2441463,0.023942,-0.062249,-9.892841,-0.051694,-0.050095,-0.026646
1706616192,2441489,0.122104,-0.186748,-10.429143,-0.055691,-0.022649,-0.027179
1706616192,2441517,0.069432,0.450110,-9.921572,-0.050894,0.002398,-0.028778
1706616192,2441543,-0.081403,0.023942,-10.156203,-0.038371,-0.033308,-0.025580
