Time,Angle,Distance
1663, 0.00, 0.00, 
1673, 6.94, 0.00, 
1673, 8.20, 0.00, 
1674, 9.50, 3288.75, 
1675, 10.73, 3302.75, 
1675, 12.06, 3329.00, 
1676, 13.34, 3360.75, 
1677, 14.64, 3413.75, 
1677, 15.91, 3453.00, 
1678, 17.22, 3484.25, 
1678, 18.50, 3506.00, 
1679, 20.09, 0.00, 
1680, 28.69, 0.00, 
1680, 29.98, 0.00, 
1681, 31.28, 0.00, 
1682, 32.59, 0.00, 
1682, 26.28, 0.00, 
1683, 27.53, 3864.25, 
1684, 28.84, 3924.50, 
1684, 30.14, 3992.00, 
1685, 31.44, 4055.00, 
1686, 32.72, 4061.75, 
1686, 34.03, 4049.75, 
1687, 35.38, 4050.25, 
1688, 36.67, 0.00, 
1688, 37.95, 4262.25, 
1689, 39.27, 4145.75, 
1690, 40.58, 4068.50, 
1690, 41.89, 3988.50, 
1691, 43.19, 3892.75, 
1692, 44.50, 3804.50, 
1692, 45.91, 0.00, 
1693, 47.20, 3061.50, 
1693, 48.50, 3018.75, 
1694, 49.80, 3014.50, 
1695, 51.11, 3011.25, 
1695, 52.41, 3008.00, 
1696, 53.69, 0.00, 
1697, 54.95, 3214.50, 
1697, 56.28, 3237.50, 
1698, 57.58, 3189.50, 
1699, 58.98, 3150.75, 
1699, 60.30, 3114.00, 
1700, 61.61, 3071.25, 
1701, 62.94, 3032.25, 
1702, 64.23, 2994.75, 
1703, 65.53, 2974.00, 
1703, 66.84, 2967.75, 
1704, 75.67, 0.00, 
1704, 69.48, 2942.75, 
1705, 70.78, 2903.25, 
1706, 72.09, 2877.50, 
1706, 73.42, 2866.50, 
1707, 74.70, 2870.00, 
1708, 76.00, 2861.75, 
1708, 77.33, 2849.00, 
1709, 78.66, 2845.75, 
1710, 79.92, 2829.50, 
1710, 81.23, 2813.75, 
1711, 82.56, 2805.75, 
1712, 83.75, 2803.50, 
1712, 85.06, 2802.75, 
1713, 86.34, 2803.75, 
1714, 87.64, 2813.75, 
1714, 88.94, 2819.00, 
1715, 90.23, 2823.50, 
1716, 91.55, 2817.25, 
1716, 92.84, 2814.75, 
1717, 94.14, 2819.75, 
1717, 95.44, 2832.00, 
1718, 96.75, 2850.50, 
1719, 98.03, 2859.75, 
1719, 99.36, 2875.75, 
1720, 100.64, 2879.75, 
1721, 101.94, 2889.00, 
1721, 103.22, 2914.25, 
1722, 104.53, 2937.50, 
1723, 113.33, 0.00, 
1723, 107.05, 2956.25, 
1724, 108.36, 2979.25, 
1725, 109.64, 3016.50, 
