Time,Angle,Distance
1786, 0.00, 0.00, 
1799, 57.47, 0.00, 
1799, 58.48, 0.00, 
1800, 59.50, 0.00, 
1801, 60.50, 0.00, 
1801, 61.50, 0.00, 
1802, 62.50, 0.00, 
1803, 63.52, 0.00, 
1803, 56.81, 0.00, 
1804, 57.83, 0.00, 
1805, 59.08, 4900.00, 
1805, 60.09, 4767.50, 
1806, 61.13, 4674.75, 
1806, 62.17, 0.00, 
1807, 63.41, 0.00, 
1808, 64.41, 2573.00, 
1808, 72.87, 0.00, 
1809, 73.89, 0.00, 
1810, 74.91, 0.00, 
1810, 75.92, 0.00, 
1811, 69.31, 0.00, 
1812, 70.36, 3707.50, 
1812, 71.37, 3638.25, 
1813, 72.41, 3565.75, 
1814, 81.00, 0.00, 
1814, 74.56, 0.00, 
1815, 75.61, 2632.75, 
1816, 76.61, 2646.75, 
1816, 77.59, 2659.25, 
1817, 78.64, 2672.50, 
1818, 79.64, 2684.50, 
1818, 80.64, 2703.25, 
1819, 81.66, 2716.00, 
1819, 82.92, 2730.00, 
1820, 83.95, 2745.00, 
1821, 92.44, 0.00, 
1821, 93.47, 0.00, 
1822, 87.03, 2783.00, 
1823, 88.03, 2839.00, 
1823, 89.03, 2872.50, 
1824, 90.08, 2898.00, 
1825, 91.09, 2917.00, 
1825, 92.05, 0.00, 
1826, 100.66, 0.00, 
1827, 93.97, 0.00, 
1828, 94.98, 5255.50, 
1829, 103.73, 0.00, 
1829, 104.77, 0.00, 
1830, 105.78, 0.00, 
1831, 106.81, 0.00, 
1831, 107.84, 0.00, 
1832, 101.08, 0.00, 
1833, 102.11, 0.00, 
1833, 103.09, 0.00, 
1834, 104.14, 8096.75, 
1835, 105.16, 8100.75, 
1835, 106.34, 8130.50, 
1836, 107.39, 8094.50, 
1837, 108.41, 8180.50, 
1837, 109.44, 8269.75, 
1838, 110.48, 8236.50, 
1838, 111.52, 8224.25, 
1839, 113.98, 0.00, 
1840, 115.11, 0.00, 
1840, 116.22, 842.75, 
1841, 117.22, 839.50, 
1842, 118.28, 838.50, 
1842, 119.19, 839.75, 
1843, 120.41, 0.00, 
1844, 121.34, 796.00, 
1844, 122.47, 806.75, 
1845, 123.45, 814.00, 
1846, 130.70, 0.00, 
1846, 131.73, 0.00, 
1847, 132.77, 0.00, 
1848, 127.47, 0.00, 
1848, 134.83, 0.00, 
1849, 128.34, 0.00, 
1850, 129.39, 3062.50, 
1850, 130.58, 3075.75, 
1851, 131.63, 3092.50, 
1851, 132.66, 3104.75, 
1852, 133.70, 3125.75, 
1853, 134.72, 3136.50, 
1853, 135.92, 0.00, 
1854, 136.95, 2444.00, 
1855, 138.08, 0.00, 
1855, 146.44, 0.00, 
1856, 147.47, 0.00, 
1857, 148.52, 0.00, 
1857, 142.41, 0.00, 
1858, 143.50, 0.00, 
1859, 151.63, 0.00, 
1859, 152.69, 0.00, 
1860, 146.45, 0.00, 
1861, 147.53, 0.00, 
1861, 176.53, 1075.50, 
1862, 177.52, 1068.25, 
1863, 178.61, 1057.25, 
1863, 179.92, 1047.00, 
1864, 180.91, 1037.25, 
1864, 182.05, 1027.75, 
1865, 183.06, 1018.00, 
1866, 184.13, 1009.25, 
1866, 185.20, 1000.75, 
1867, 186.31, 994.50, 
1868, 187.37, 987.75, 
1868, 188.30, 0.00, 
1869, 188.30, 0.00, 
1870, 197.03, 0.00, 
1870, 198.08, 0.00, 
1871, 199.14, 0.00, 
1872, 200.19, 0.00, 
1872, 201.25, 0.00, 
1873, 202.31, 0.00, 
1874, 203.36, 0.00, 
1874, 204.42, 0.00, 
1875, 205.47, 0.00, 
1876, 206.53, 0.00, 
1876, 207.58, 0.00, 
1877, 208.64, 0.00, 
1877, 209.70, 0.00, 
1878, 210.89, 0.00, 
1879, 211.95, 0.00, 
1879, 213.02, 0.00, 
1880, 214.08, 0.00, 
1881, 215.14, 0.00, 
1881, 216.20, 0.00, 
1882, 217.27, 0.00, 
1883, 218.33, 0.00, 
1883, 219.39, 0.00, 
1884, 220.45, 0.00, 
1885, 221.50, 0.00, 
1885, 222.56, 0.00, 
1886, 223.62, 0.00, 
1887, 224.69, 0.00, 
1887, 225.75, 0.00, 
1888, 226.81, 0.00, 
1888, 227.87, 0.00, 
1889, 228.94, 0.00, 
1890, 230.00, 0.00, 
1890, 231.06, 0.00, 
1891, 232.12, 0.00, 
1892, 233.19, 0.00, 
1892, 234.31, 0.00, 
1893, 235.38, 0.00, 
1894, 236.44, 0.00, 
1894, 237.50, 0.00, 
1895, 238.56, 0.00, 
1896, 239.64, 0.00, 
1896, 240.70, 0.00, 
1897, 241.77, 0.00, 
1898, 242.83, 0.00, 
1898, 243.89, 0.00, 
1899, 244.95, 0.00, 
1900, 246.03, 0.00, 
1900, 247.09, 0.00, 
1901, 248.16, 0.00, 
1901, 249.22, 0.00, 
1902, 250.28, 0.00, 
1903, 251.34, 0.00, 
1903, 252.41, 0.00, 
1904, 253.47, 0.00, 
1905, 254.55, 0.00, 
1905, 255.59, 0.00, 
1906, 256.67, 0.00, 
1907, 257.73, 0.00, 
1907, 258.91, 0.00, 
1908, 259.98, 0.00, 
1909, 261.06, 0.00, 
1909, 262.12, 0.00, 
1910, 263.19, 0.00, 
1910, 264.27, 0.00, 
1911, 265.33, 0.00, 
1912, 266.39, 0.00, 
1912, 267.47, 0.00, 
1913, 268.53, 0.00, 
1914, 269.61, 0.00, 
1914, 270.67, 0.00, 
1915, 271.75, 0.00, 
1916, 272.81, 0.00, 
1916, 273.89, 0.00, 
1917, 274.95, 0.00, 
1918, 276.03, 0.00, 
1918, 277.09, 0.00, 
1919, 278.16, 0.00, 
1920, 279.23, 0.00, 
1920, 280.30, 0.00, 
1921, 281.38, 0.00, 
1921, 282.56, 0.00, 
1922, 283.64, 0.00, 
1936, 284.72, 0.00, 
1937, 285.80, 0.00, 
1937, 286.86, 0.00, 
1938, 287.94, 0.00, 
1939, 289.02, 0.00, 
1939, 290.09, 0.00, 
1940, 291.17, 0.00, 
1941, 292.23, 0.00, 
1941, 293.31, 0.00, 
1942, 294.39, 0.00, 
1942, 295.47, 0.00, 
1943, 296.55, 0.00, 
1944, 297.61, 0.00, 
1944, 298.69, 0.00, 
1945, 299.77, 0.00, 
1946, 300.84, 0.00, 
1946, 301.91, 0.00, 
1947, 302.98, 0.00, 
1948, 304.06, 0.00, 
1948, 305.14, 0.00, 
1949, 306.34, 0.00, 
1950, 307.44, 0.00, 
1950, 308.52, 0.00, 
1951, 309.59, 0.00, 
1952, 310.67, 11392.00, 
1952, 124.27, 11478.75, 
1967, 124.27, 11511.75, 
1968, 124.27, 24.75, 
1968, 68.34, 15695.50, 
1980, 5.91, 2281.75, 
1991, 14.33, 0.00, 
1991, 15.36, 0.00, 
1992, 16.39, 0.00, 
1993, 17.42, 0.00, 
1993, 18.45, 0.00, 
1994, 18.92, 0.00, 
1995, 19.92, 0.00, 
1995, 20.94, 0.00, 
1996, 14.27, 0.00, 
1997, 15.25, 0.00, 
