Time,Angle,Distance
13:12:36.11503, 0.00, 0.00, 
13:12:37.11523, 42.09, 0.00, 
13:12:37.11524, 50.02, 0.00, 
13:12:37.11525, 51.33, 0.00, 
13:12:37.11530, 52.64, 0.00, 
13:12:37.11531, 53.94, 0.00, 
13:12:37.11531, 55.25, 0.00, 
13:12:37.11532, 49.08, 0.00, 
13:12:37.11533, 50.44, 0.00, 
13:12:37.11534, 51.70, 0.00, 
13:12:37.11535, 60.47, 0.00, 
13:12:37.11535, 54.63, 0.00, 
13:12:37.11540, 55.53, 0.00, 
13:12:37.11541, 56.80, 0.00, 
13:12:37.11542, 58.09, 3474.00, 
13:12:37.11543, 59.31, 0.00, 
13:12:37.11543, 60.69, 0.00, 
13:12:37.11544, 61.94, 0.00, 
13:12:37.11545, 63.28, 0.00, 
13:12:37.11550, 64.58, 3340.50, 
13:12:37.11551, 65.91, 3299.25, 
13:12:37.11551, 67.19, 3270.25, 
13:12:37.11552, 68.50, 3239.50, 
13:12:37.11553, 69.81, 3204.25, 
13:12:37.11554, 71.09, 3177.75, 
13:12:37.11555, 72.41, 3149.00, 
13:12:37.12000, 73.70, 3124.50, 
13:12:37.12000, 75.02, 3105.00, 
13:12:37.12001, 76.30, 0.00, 
13:12:37.12002, 85.16, 0.00, 
13:12:37.12003, 78.81, 0.00, 
13:12:37.12004, 80.09, 4178.50, 
13:12:37.12004, 81.41, 4173.25, 
13:12:37.12005, 82.70, 4172.50, 
13:12:37.12010, 84.00, 4160.00, 
13:12:37.12011, 85.30, 4148.75, 
13:12:37.12012, 86.59, 4150.00, 
13:12:37.12013, 87.91, 4154.75, 
13:12:37.12013, 89.20, 4148.75, 
13:12:37.12014, 90.45, 0.00, 
13:12:37.12015, 91.75, 4833.50, 
13:12:37.12020, 93.06, 4845.75, 
13:12:37.12021, 95.84, 0.00, 
13:12:37.12021, 97.23, 0.00, 
13:12:37.12023, 98.62, 746.00, 
13:12:37.12024, 99.84, 739.00, 
13:12:37.12024, 101.25, 736.00, 
13:12:37.12025, 102.61, 736.25, 
13:12:37.12030, 103.70, 744.25, 
13:12:37.12031, 111.16, 0.00, 
13:12:37.12032, 112.47, 0.00, 
13:12:37.12033, 107.41, 0.00, 
13:12:37.12033, 108.59, 0.00, 
13:12:37.12034, 116.34, 0.00, 
13:12:37.12035, 117.64, 0.00, 
13:12:37.12040, 118.95, 0.00, 
13:12:37.12041, 120.25, 0.00, 
13:12:37.12041, 114.08, 0.00, 
13:12:37.12042, 115.41, 0.00, 
13:12:37.12043, 116.73, 0.00, 
13:12:37.12044, 118.03, 2518.00, 
13:12:37.12045, 119.36, 0.00, 
13:12:37.12045, 120.67, 0.00, 
13:12:37.12050, 122.00, 2244.50, 
13:12:37.12051, 130.64, 0.00, 
13:12:37.12052, 124.89, 0.00, 
13:12:37.12053, 133.25, 0.00, 
13:12:37.12054, 134.55, 0.00, 
13:12:37.12054, 135.84, 0.00, 
13:12:37.12055, 137.16, 0.00, 
13:12:37.12100, 138.39, 0.00, 
13:12:37.12101, 139.70, 0.00, 
13:12:37.12102, 140.98, 0.00, 
