Time,Angle,Distance
1665, 0.00, 0.00, 
1675, 299.84, 0.00, 
1676, 301.06, 0.00, 
1677, 302.34, 0.00, 
1677, 303.48, 0.00, 
1678, 304.73, 1315.50, 
1679, 305.98, 1310.75, 
1679, 307.31, 1292.25, 
1680, 308.58, 1260.50, 
1681, 316.59, 0.00, 
1681, 310.84, 0.00, 
1682, 319.06, 0.00, 
1682, 313.31, 0.00, 
1683, 314.53, 0.00, 
1684, 322.77, 0.00, 
1684, 317.03, 1477.00, 
1685, 325.23, 0.00, 
1686, 319.45, 1478.00, 
1686, 320.86, 0.00, 
1687, 322.20, 1221.00, 
1688, 323.34, 1214.50, 
1688, 331.44, 0.00, 
1689, 332.67, 0.00, 
1690, 326.91, 0.00, 
1690, 335.13, 0.00, 
1691, 336.37, 0.00, 
1692, 337.61, 0.00, 
1692, 338.83, 0.00, 
1693, 340.06, 0.00, 
1694, 341.31, 0.00, 
1694, 335.02, 0.00, 
1695, 336.22, 3281.00, 
1696, 337.47, 3263.00, 
1696, 338.69, 3252.50, 
1697, 339.92, 3243.50, 
1697, 341.17, 3215.25, 
1698, 342.44, 3179.75, 
1699, 343.66, 3150.50, 
1699, 344.91, 3139.00, 
1700, 346.13, 3130.25, 
1701, 347.30, 3119.50, 
1701, 348.55, 3096.00, 
1702, 349.80, 3072.25, 
1703, 351.02, 3070.00, 
1704, 352.25, 3065.00, 
1704, 353.50, 3053.50, 
1705, 354.72, 3052.00, 
1706, 355.94, 3048.00, 
1706, 357.12, 0.00, 
1707, 358.39, 3364.00, 
1708, 359.61, 3384.50, 
1708, 0.84, 3411.25, 
1723, 2.06, 3438.50, 
1724, 3.30, 3463.75, 
1725, 4.52, 3492.50, 
1725, 5.73, 3530.00, 
1726, 14.56, 0.00, 
1727, 15.80, 0.00, 
1727, 9.44, 3595.75, 
1728, 10.64, 3660.75, 
1729, 11.95, 0.00, 
1729, 13.56, 0.00, 
1730, 21.92, 0.00, 
1731, 23.16, 0.00, 
1731, 16.75, 0.00, 
1732, 17.98, 3994.50, 
1732, 19.22, 4062.00, 
1733, 20.55, 0.00, 
1734, 21.72, 0.00, 
1734, 22.89, 0.00, 
1735, 24.14, 4024.75, 
1736, 25.33, 0.00, 
1736, 26.58, 0.00, 
1737, 27.83, 4196.50, 
1738, 29.55, 0.00, 
1738, 37.92, 0.00, 
1739, 39.17, 0.00, 
1740, 32.78, 0.00, 
1740, 34.13, 0.00, 
1741, 35.50, 2973.50, 
1742, 36.70, 2969.25, 
1742, 37.95, 2959.25, 
1743, 39.19, 2951.50, 
1744, 40.44, 2940.00, 
1744, 41.66, 2930.00, 
1745, 50.42, 0.00, 
1746, 51.66, 0.00, 
1746, 45.34, 0.00, 
1747, 46.56, 3264.00, 
1747, 47.81, 3210.50, 
1748, 49.06, 3166.00, 
1749, 50.33, 3127.75, 
1749, 51.55, 3091.25, 
1750, 52.80, 3065.75, 
1751, 54.23, 0.00, 
1751, 55.52, 2028.75, 
1752, 120.59, 2684.00, 
1753, 121.81, 2642.75, 
1753, 130.48, 0.00, 
1754, 131.70, 0.00, 
1755, 132.94, 0.00, 
1755, 134.17, 0.00, 
1756, 128.69, 0.00, 
1757, 136.64, 0.00, 
1757, 137.86, 0.00, 
1758, 139.08, 0.00, 
1759, 140.31, 0.00, 
1759, 141.53, 0.00, 
1760, 142.77, 0.00, 
1760, 144.00, 0.00, 
1761, 145.22, 0.00, 
1762, 146.47, 0.00, 
1762, 147.69, 0.00, 
1763, 148.92, 0.00, 
1764, 150.14, 0.00, 
1764, 151.37, 0.00, 
1765, 152.61, 0.00, 
1766, 153.84, 0.00, 
1766, 155.06, 0.00, 
1767, 156.30, 0.00, 
1768, 157.53, 0.00, 
1768, 158.75, 0.00, 
1769, 159.98, 0.00, 
1770, 161.22, 0.00, 
1770, 162.41, 0.00, 
1771, 163.62, 0.00, 
1772, 164.86, 0.00, 
1772, 166.09, 0.00, 
1773, 167.31, 0.00, 
1773, 168.55, 0.00, 
1774, 169.77, 0.00, 
1775, 171.00, 0.00, 
1775, 172.22, 0.00, 
1776, 173.45, 0.00, 
1777, 174.67, 0.00, 
1777, 175.91, 0.00, 
1778, 177.14, 0.00, 
1779, 178.36, 0.00, 
1779, 179.59, 0.00, 
1780, 180.81, 0.00, 
1781, 182.05, 0.00, 
1781, 183.28, 0.00, 
1782, 184.50, 0.00, 
1783, 185.72, 0.00, 
1783, 187.02, 0.00, 
1784, 188.25, 0.00, 
1784, 189.47, 0.00, 
1785, 190.70, 0.00, 
1786, 191.94, 0.00, 
1786, 193.16, 0.00, 
1787, 194.39, 0.00, 
1788, 195.62, 0.00, 
1788, 196.86, 0.00, 
1789, 198.08, 0.00, 
1790, 199.31, 0.00, 
1790, 200.55, 0.00, 
1791, 201.78, 0.00, 
1792, 203.00, 0.00, 
1792, 204.23, 0.00, 
1793, 205.47, 0.00, 
1794, 206.69, 0.00, 
1794, 207.92, 0.00, 
1795, 209.16, 0.00, 
1796, 210.39, 0.00, 
1796, 211.62, 0.00, 
1797, 212.86, 0.00, 
1797, 214.08, 0.00, 
1798, 215.31, 0.00, 
1799, 216.55, 0.00, 
1799, 217.78, 0.00, 
1800, 219.02, 0.00, 
1801, 213.62, 0.00, 
1801, 214.83, 0.00, 
1802, 216.17, 1030.00, 
1803, 217.33, 1014.00, 
1803, 218.69, 999.25, 
1804, 219.92, 985.75, 
1805, 221.14, 973.25, 
1805, 222.45, 961.50, 
1806, 223.59, 949.00, 
1807, 224.89, 937.75, 
1807, 226.14, 928.50, 
1808, 227.38, 920.50, 
1808, 229.14, 0.00, 
1809, 230.59, 643.00, 
1810, 231.72, 631.00, 
1810, 233.11, 622.25, 
1811, 234.36, 617.75, 
1812, 235.59, 618.25, 
1812, 236.66, 619.75, 
1813, 237.92, 623.25, 
1814, 239.11, 629.00, 
1814, 240.94, 0.00, 
1815, 242.27, 491.50, 
1816, 243.53, 485.25, 
